starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 04 20:04:36 2013	1370390676	5	52	57	50
Tue Jun 04 20:04:36 2013	1370390676	5	53	58	53
Tue Jun 04 20:04:36 2013	1370390676	6	53	59	52
Tue Jun 04 20:04:36 2013	1370390676	7	53	60	51
Tue Jun 04 20:04:36 2013	1370390676	9	54	62	51
Tue Jun 04 20:04:36 2013	1370390676	5	58	63	56
Tue Jun 04 20:04:36 2013	1370390676	6	59	64	57
Tue Jun 04 20:04:36 2013	1370390676	7	58	65	56
Tue Jun 04 20:04:36 2013	1370390676	13	53	66	52
Tue Jun 04 20:04:36 2013	1370390676	6	62	68	59
Tue Jun 04 20:04:36 2013	1370390676	18	51	69	49
Tue Jun 04 20:04:36 2013	1370390676	12	56	69	54
Tue Jun 04 20:04:36 2013	1370390676	6	63	69	62
Tue Jun 04 20:04:36 2013	1370390676	6	64	70	64
Tue Jun 04 20:04:36 2013	1370390676	13	58	71	57
Tue Jun 04 20:04:36 2013	1370390676	6	66	72	64
Tue Jun 04 20:04:36 2013	1370390676	22	50	72	50
Tue Jun 04 20:04:36 2013	1370390676	18	54	72	52
Tue Jun 04 20:04:36 2013	1370390676	12	60	73	59
Tue Jun 04 20:04:36 2013	1370390676	14	61	75	58
Tue Jun 04 20:04:36 2013	1370390676	6	69	75	65
Tue Jun 04 20:04:36 2013	1370390676	6	69	75	69
Tue Jun 04 20:04:36 2013	1370390676	26	50	76	50
Tue Jun 04 20:04:36 2013	1370390676	6	70	76	69
Tue Jun 04 20:04:36 2013	1370390676	6	71	77	71
Tue Jun 04 20:04:36 2013	1370390676	27	50	78	50
Tue Jun 04 20:04:36 2013	1370390676	6	72	78	70
Tue Jun 04 20:04:36 2013	1370390676	27	51	79	48
Tue Jun 04 20:04:36 2013	1370390676	7	73	80	71
Tue Jun 04 20:04:36 2013	1370390676	7	73	80	73
Tue Jun 04 20:04:36 2013	1370390676	7	73	80	73
Tue Jun 04 20:04:36 2013	1370390676	5	75	80	73
Tue Jun 04 20:04:36 2013	1370390676	6	76	82	74
Tue Jun 04 20:04:36 2013	1370390676	23	59	82	57
Tue Jun 04 20:04:36 2013	1370390676	29	56	85	54
Tue Jun 04 20:04:36 2013	1370390676	17	69	86	66
Tue Jun 04 20:04:36 2013	1370390676	6	80	86	75
Tue Jun 04 20:04:36 2013	1370390676	6	81	86	81
Tue Jun 04 20:04:36 2013	1370390676	7	83	90	82
Tue Jun 04 20:04:36 2013	1370390676	6	144	150	142
Tue Jun 04 20:04:39 2013	1370390679	10	140	150	99
Tue Jun 04 20:04:36 2013	1370390676	21	247	268	110
Tue Jun 04 20:04:37 2013	1370390677	9	280	289	50
Tue Jun 04 20:04:39 2013	1370390679	112	199	311	156
Tue Jun 04 20:04:36 2013	1370390676	7	305	312	61
Tue Jun 04 20:04:39 2013	1370390679	49	265	314	222
Tue Jun 04 20:04:38 2013	1370390678	23	296	320	81
Tue Jun 04 20:04:39 2013	1370390679	109	214	323	172
Tue Jun 04 20:04:39 2013	1370390679	180	157	337	114
Tue Jun 04 20:04:39 2013	1370390679	115	235	349	192
Tue Jun 04 20:04:38 2013	1370390678	29	325	354	65
Tue Jun 04 20:04:39 2013	1370390679	202	157	359	114
Tue Jun 04 20:04:39 2013	1370390679	208	154	362	111
Tue Jun 04 20:04:39 2013	1370390679	101	262	363	219
Tue Jun 04 20:04:38 2013	1370390678	198	175	373	132
Tue Jun 04 20:04:39 2013	1370390679	166	216	382	173
Tue Jun 04 20:04:39 2013	1370390679	200	182	382	139
Tue Jun 04 20:04:39 2013	1370390679	178	204	382	161
Tue Jun 04 20:04:37 2013	1370390677	7	384	391	62
Tue Jun 04 20:04:37 2013	1370390677	11	384	395	67
Tue Jun 04 20:04:40 2013	1370390680	167	237	405	195
Tue Jun 04 20:04:39 2013	1370390679	163	246	409	203
Tue Jun 04 20:04:39 2013	1370390679	208	202	410	159
Tue Jun 04 20:04:40 2013	1370390680	171	245	416	203
Tue Jun 04 20:04:39 2013	1370390679	181	238	419	196
Tue Jun 04 20:04:40 2013	1370390680	215	205	421	161
Tue Jun 04 20:04:38 2013	1370390678	270	223	493	182
Tue Jun 04 20:04:37 2013	1370390677	30	561	591	60
Tue Jun 04 20:04:36 2013	1370390676	282	389	671	67
Tue Jun 04 20:04:37 2013	1370390677	24	695	719	61
Tue Jun 04 20:04:36 2013	1370390676	346	380	725	57
Tue Jun 04 20:04:37 2013	1370390677	37	696	732	47
Tue Jun 04 20:04:38 2013	1370390678	570	164	734	121
Tue Jun 04 20:04:36 2013	1370390676	378	356	734	63
Tue Jun 04 20:04:36 2013	1370390676	12	723	735	78
Tue Jun 04 20:04:36 2013	1370390676	154	588	742	55
Tue Jun 04 20:04:36 2013	1370390676	165	584	749	67
Tue Jun 04 20:04:37 2013	1370390677	15	770	784	64
Tue Jun 04 20:04:38 2013	1370390678	8	792	801	249
Tue Jun 04 20:04:37 2013	1370390677	36	774	811	53
Tue Jun 04 20:04:37 2013	1370390677	386	429	814	66
Tue Jun 04 20:04:37 2013	1370390677	703	283	986	60
Tue Jun 04 20:04:38 2013	1370390678	25	1026	1052	57
Tue Jun 04 20:04:36 2013	1370390676	281	809	1090	53
Tue Jun 04 20:04:38 2013	1370390678	4	1125	1129	57
Tue Jun 04 20:04:38 2013	1370390678	8	1123	1131	78
Tue Jun 04 20:04:38 2013	1370390678	11	1221	1233	62
Tue Jun 04 20:04:37 2013	1370390677	23	1217	1240	58
Tue Jun 04 20:04:37 2013	1370390677	935	313	1248	75
Tue Jun 04 20:04:36 2013	1370390676	12	1238	1251	64
Tue Jun 04 20:04:36 2013	1370390676	13	1264	1278	92
Tue Jun 04 20:04:38 2013	1370390678	30	1281	1311	55
Tue Jun 04 20:04:36 2013	1370390676	130	1237	1367	58
