starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 17 15:58:38 2013	1371506318	200	242	442	242
Mon Jun 17 15:58:38 2013	1371506318	205	251	455	249
Mon Jun 17 15:58:38 2013	1371506318	201	262	463	262
Mon Jun 17 15:58:38 2013	1371506318	202	269	471	268
Mon Jun 17 15:58:11 2013	1371506291	287	185	471	182
Mon Jun 17 15:58:11 2013	1371506291	286	188	474	186
Mon Jun 17 15:58:38 2013	1371506318	216	267	483	260
Mon Jun 17 15:58:12 2013	1371506292	203	280	483	280
Mon Jun 17 15:58:11 2013	1371506291	287	198	484	197
Mon Jun 17 15:58:12 2013	1371506292	208	287	494	285
Mon Jun 17 15:58:38 2013	1371506318	207	308	515	308
Mon Jun 17 15:58:38 2013	1371506318	211	316	527	314
Mon Jun 17 15:58:38 2013	1371506318	205	324	528	246
Mon Jun 17 15:58:38 2013	1371506318	204	333	537	332
Mon Jun 17 15:58:38 2013	1371506318	209	333	542	331
Mon Jun 17 15:58:11 2013	1371506291	286	262	549	201
Mon Jun 17 15:58:25 2013	1371506305	211	344	555	344
Mon Jun 17 15:58:11 2013	1371506291	286	270	556	268
Mon Jun 17 15:58:38 2013	1371506318	205	353	558	352
Mon Jun 17 15:58:38 2013	1371506318	202	364	566	302
Mon Jun 17 15:58:38 2013	1371506318	211	355	566	348
Mon Jun 17 15:58:27 2013	1371506307	201	367	568	367
Mon Jun 17 15:58:38 2013	1371506318	206	366	572	300
Mon Jun 17 15:58:37 2013	1371506317	211	361	572	360
Mon Jun 17 15:58:38 2013	1371506318	212	360	572	297
Mon Jun 17 15:58:46 2013	1371506326	201	376	577	375
Mon Jun 17 15:58:38 2013	1371506318	200	377	577	315
Mon Jun 17 15:58:26 2013	1371506306	203	386	588	385
Mon Jun 17 15:58:28 2013	1371506308	212	380	591	380
Mon Jun 17 15:58:11 2013	1371506291	286	306	592	304
Mon Jun 17 15:58:26 2013	1371506306	200	394	594	391
Mon Jun 17 15:58:25 2013	1371506305	213	381	594	374
Mon Jun 17 15:58:27 2013	1371506307	205	389	594	386
Mon Jun 17 15:58:12 2013	1371506292	203	392	595	392
Mon Jun 17 15:58:38 2013	1371506318	210	387	597	387
Mon Jun 17 15:58:36 2013	1371506316	210	392	603	390
Mon Jun 17 15:58:28 2013	1371506308	217	390	607	388
Mon Jun 17 15:58:27 2013	1371506307	224	384	607	383
Mon Jun 17 15:58:38 2013	1371506318	218	390	608	390
Mon Jun 17 15:58:28 2013	1371506308	204	404	608	400
Mon Jun 17 15:58:46 2013	1371506326	206	403	610	401
Mon Jun 17 15:58:26 2013	1371506306	200	411	611	408
Mon Jun 17 15:58:37 2013	1371506317	204	407	611	401
Mon Jun 17 15:58:47 2013	1371506327	209	402	612	402
Mon Jun 17 15:58:37 2013	1371506317	220	392	612	386
Mon Jun 17 15:58:25 2013	1371506305	210	404	614	404
Mon Jun 17 15:58:36 2013	1371506316	214	400	614	400
Mon Jun 17 15:58:12 2013	1371506292	202	414	616	412
Mon Jun 17 15:58:26 2013	1371506306	209	408	617	407
Mon Jun 17 15:58:25 2013	1371506305	205	411	617	411
Mon Jun 17 15:58:36 2013	1371506316	212	405	617	405
Mon Jun 17 15:58:27 2013	1371506307	214	404	618	404
Mon Jun 17 15:58:12 2013	1371506292	218	400	618	400
Mon Jun 17 15:58:27 2013	1371506307	211	407	618	406
Mon Jun 17 15:58:28 2013	1371506308	208	410	618	408
Mon Jun 17 15:58:27 2013	1371506307	204	415	619	411
Mon Jun 17 15:58:44 2013	1371506324	204	416	620	413
Mon Jun 17 15:58:27 2013	1371506307	222	400	622	399
Mon Jun 17 15:58:26 2013	1371506306	232	391	623	389
Mon Jun 17 15:58:49 2013	1371506329	214	409	624	405
Mon Jun 17 15:58:11 2013	1371506291	287	337	624	321
Mon Jun 17 15:58:26 2013	1371506306	208	417	624	416
Mon Jun 17 15:58:38 2013	1371506318	200	424	625	424
Mon Jun 17 15:58:37 2013	1371506317	208	417	625	407
Mon Jun 17 15:58:38 2013	1371506318	203	423	627	366
Mon Jun 17 15:58:43 2013	1371506323	201	427	628	427
Mon Jun 17 15:58:36 2013	1371506316	206	423	629	423
Mon Jun 17 15:58:38 2013	1371506318	227	403	631	394
Mon Jun 17 15:58:36 2013	1371506316	214	417	631	416
Mon Jun 17 15:58:28 2013	1371506308	206	428	633	427
Mon Jun 17 15:58:37 2013	1371506317	203	432	635	429
Mon Jun 17 15:58:49 2013	1371506329	204	433	637	425
Mon Jun 17 15:58:12 2013	1371506292	200	437	638	434
Mon Jun 17 15:58:33 2013	1371506313	205	433	638	432
Mon Jun 17 15:58:36 2013	1371506316	207	431	638	431
Mon Jun 17 15:58:28 2013	1371506308	201	439	639	426
Mon Jun 17 15:58:27 2013	1371506307	201	439	640	437
Mon Jun 17 15:58:27 2013	1371506307	210	430	641	430
Mon Jun 17 15:58:36 2013	1371506316	207	434	642	372
Mon Jun 17 15:58:33 2013	1371506313	203	439	642	439
Mon Jun 17 15:58:43 2013	1371506323	202	440	642	438
Mon Jun 17 15:58:28 2013	1371506308	226	416	642	416
Mon Jun 17 15:58:27 2013	1371506307	224	419	643	419
Mon Jun 17 15:58:42 2013	1371506322	202	441	643	439
Mon Jun 17 15:58:38 2013	1371506318	203	441	645	386
Mon Jun 17 15:58:46 2013	1371506326	204	441	645	439
Mon Jun 17 15:58:39 2013	1371506319	213	432	645	428
Mon Jun 17 15:58:27 2013	1371506307	216	429	645	428
Mon Jun 17 15:58:38 2013	1371506318	201	444	645	441
Mon Jun 17 15:58:38 2013	1371506318	214	432	645	362
Mon Jun 17 15:58:44 2013	1371506324	208	439	647	436
Mon Jun 17 15:58:39 2013	1371506319	210	438	647	435
Mon Jun 17 15:58:26 2013	1371506306	207	440	648	439
Mon Jun 17 15:58:36 2013	1371506316	212	436	648	435
Mon Jun 17 15:58:37 2013	1371506317	230	420	650	417
Mon Jun 17 15:58:46 2013	1371506326	218	432	650	376
Mon Jun 17 15:58:26 2013	1371506306	209	442	651	440
Mon Jun 17 15:58:36 2013	1371506316	216	435	651	383
Mon Jun 17 15:58:46 2013	1371506326	214	437	651	435
Mon Jun 17 15:58:24 2013	1371506304	201	451	652	451
Mon Jun 17 15:58:49 2013	1371506329	203	451	653	449
Mon Jun 17 15:58:28 2013	1371506308	235	420	654	410
Mon Jun 17 15:58:12 2013	1371506292	203	451	654	451
Mon Jun 17 15:58:37 2013	1371506317	208	446	655	446
Mon Jun 17 15:58:47 2013	1371506327	205	450	655	446
Mon Jun 17 15:58:36 2013	1371506316	215	440	655	440
Mon Jun 17 15:58:12 2013	1371506292	220	435	655	435
Mon Jun 17 15:58:39 2013	1371506319	200	455	656	453
Mon Jun 17 15:58:38 2013	1371506318	210	446	656	446
Mon Jun 17 15:58:28 2013	1371506308	222	434	656	429
Mon Jun 17 15:58:28 2013	1371506308	210	446	656	443
Mon Jun 17 15:58:49 2013	1371506329	209	448	657	448
Mon Jun 17 15:58:43 2013	1371506323	226	431	657	430
Mon Jun 17 15:58:37 2013	1371506317	204	453	657	453
Mon Jun 17 15:58:25 2013	1371506305	211	447	657	445
Mon Jun 17 15:58:26 2013	1371506306	243	416	658	415
Mon Jun 17 15:58:25 2013	1371506305	216	443	659	442
Mon Jun 17 15:58:49 2013	1371506329	223	436	659	434
Mon Jun 17 15:58:39 2013	1371506319	211	450	661	444
Mon Jun 17 15:58:43 2013	1371506323	225	437	661	434
Mon Jun 17 15:58:26 2013	1371506306	222	439	661	439
Mon Jun 17 15:58:26 2013	1371506306	203	458	661	458
Mon Jun 17 15:58:11 2013	1371506291	294	367	661	367
Mon Jun 17 15:58:43 2013	1371506323	219	442	662	442
Mon Jun 17 15:58:46 2013	1371506326	212	451	662	448
Mon Jun 17 15:58:24 2013	1371506304	208	454	663	453
Mon Jun 17 15:58:12 2013	1371506292	222	441	663	425
Mon Jun 17 15:58:26 2013	1371506306	231	432	663	428
Mon Jun 17 15:58:38 2013	1371506318	207	457	664	456
Mon Jun 17 15:58:36 2013	1371506316	204	461	665	460
Mon Jun 17 15:58:24 2013	1371506304	208	458	666	453
Mon Jun 17 15:58:46 2013	1371506326	203	464	666	463
Mon Jun 17 15:58:12 2013	1371506292	204	463	666	462
Mon Jun 17 15:58:26 2013	1371506306	217	450	667	450
Mon Jun 17 15:58:11 2013	1371506291	286	381	667	329
Mon Jun 17 15:58:46 2013	1371506326	211	457	668	453
Mon Jun 17 15:58:38 2013	1371506318	205	464	669	391
Mon Jun 17 15:58:36 2013	1371506316	209	460	670	460
